	1962029.721	628820.1836
	1962027.245	628816.6435
	1962024.202	628811.7222
	1962022.694	628807.2771
	1962021.567	628808.0391
	1962023.202	628812.8493
	1962028.377	628819.0724
	1962030.782	628824.5969
	1962032.601	628827.2622
	1962033.604	628827.4365
	1962034.148	628826.9389
END		
49	1962034.595	628824.6496
	1962038.505	628822.7409
	1962032.394	628821.2499
	1962029.769	628817.2705
	1962027.25	628815.4925
	1962026.74	628815.8273
	1962027.245	628816.6435
	1962029.721	628820.1836
	1962034.148	628826.9389
	1962034.846	628826.3001
	1962038.505	628822.7409
END		
50	1962030.231	628816.3631
	1962027.25	628815.4925
	1962029.769	628817.2705
	1962032.394	628821.2499
	1962033.072	628821.4154
	1962031.251	628812.9948
	1962027.25	628815.4925
END		
51	1962033.123	628816.458
	1962031.251	628812.9948
	1962033.072	628821.4154
	1962034.045	628821.6527
	1962034.256	628816.2122
	1962031.251	628812.9948
END		
52	1962037.108	628820.6215
	1962043.304	628822.5488
	1962039.074	628819.9799
	1962038.291	628819.0909
	1962034.256	628816.2122
	1962034.045	628821.6527
	1962038.505	628822.7409
	1962040.384	628823.5611
	1962043.304	628822.5488
END		
53	1962039.424	628818.1484
	1962044.347	628820.9417
	1962042.593	628819.6068
	1962041.495	628819.4878
	1962040.344	628817.9664
	1962039.921	628815.2147
	1962038.585	628815.4396
	1962038.291	628819.0909
	1962039.074	628819.9799
	1962043.304	628822.5488
	1962044.352	628822.1853
	1962044.347	628820.9417
END		
54	1962041.407	628817.7799
	1962039.921	628815.2147
	1962040.344	628817.9664
	1962041.495	628819.4878
	1962042.593	628819.6068
	1962043.574	628818.8962
	1962043.223	628818.3671
	1962042.906	628818.1124
	1962042.504	628818.0508
	1962042.512	628817.8083
	1962041.805	628816.1745
	1962041.075	628815.0394
	1962039.921	628815.2147
END		
55	1962043.426	628819.7144
	1962044.27	628819.9442
	1962043.574	628818.8962
	1962042.593	628819.6068
	1962044.347	628820.9417
	1962044.27	628819.9442
END		
56	1962045.702	628818.7458
	1962045.481	628819.5262
	1962046.162	628819.3343
	1962046.581	628819.3578
	1962046.282	628819.0993
	1962046.574	628817.7199
	1962046.55	628815.6244
	1962045.568	628816.0856
	1962046.126	628817.7399
	1962045.09	628818.5892
	1962044.942	628819.1256
	1962045.481	628819.5262
