Upper Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide,ReachEnd
569,0,5,0,0,I
570,0,5,0,0,I
571,0,5,0,0,I
572,0.4,0.3,0,0.3,I
573,0.4,0.3,0,0.3,I
574,0.15,2,0,0.05,I
575,0.01,4,0.05,0.01,I
576,0.15,2,0,0.05,I
577,0,5,0,0,I
578,0.01,4,0.05,0.01,I
579,0.01,4,0.05,0.01,I
580,0.01,4,0.05,0.01,I
581,0,5,0,0,I
582,0,5,0,0,I
583,0,5,0,0,I
584,0,5,0,0,I
585,0,5,0,0,I
586,0,5,0,0,I
587,0,5,0,0,I
588,0,5,0,0,I
589,0,5,0,0,I
590,0,5,0,0,I
591,0,5,0,0,I
592,0.02,3,0,0.02,I
593,0.02,3,0,0.02,I
594,0.05,0.8,0.02,0.1,I
595,0.05,0.8,0.02,0.1,I
596,0.05,0.8,0.02,0.1,I
597,0.05,0.8,0.02,0.1,I
598,0.02,3.75,0.01,0.01,I
599,0.02,3.75,0.01,0.01,I
600,0.02,3.75,0.01,0.01,I
601,0.02,3.75,0.01,0.01,I
602,0.02,3.75,0.01,0.01,I
603,0.02,3.75,0.01,0.01,I
604,0.02,3.75,0.01,0.01,I
605,0.02,3.75,0.01,0.01,I
606,0.02,3.75,0.01,0.01,I
607,0.02,3.75,0.01,0.01,I
608,0.02,3.75,0.01,0.01,I
609,0.02,3.75,0.01,0.01,I
610,0.02,3.75,0.01,0.01,I
611,0,5,0,0,I
612,0.4,0.3,0,0.3,I
613,0.4,0.3,0,0.3,I
614,0.15,2,0,0.05,I
615,0.15,2,0,0.05,I
616,0.4,0.3,0,0.3,I
617,0.01,4,0.05,0.01,I
618,0.01,4,0.05,0.01,I
619,0.15,2,0,0.05,I
620,0.01,4,0.05,0.01,I
621,0,5,0,0,I
622,0,5,0,0,I
623,0.01,4,0.05,0.01,I
624,0.01,4,0.05,0.01,I
625,0,5,0,0,I
626,0,5,0,0,I
627,0,5,0,0,I
628,0,5,0,0,I
629,0,5,0,0,I
630,0,5,0,0,I
631,0,5,0,0,I
632,0,5,0,0,I
633,0,5,0,0,I
634,0,5,0,0,I
635,0.05,0.8,0.02,0.1,I
636,0.05,0.8,0.02,0.1,I
637,0.05,0.8,0.02,0.1,I
638,0.2,0.5,0,0.2,I
639,0.03,1.5,0.01,0.05,I
640,0.05,0.8,0.02,0.1,I
641,0.05,0.8,0.02,0.1,I
642,0.02,3.75,0.01,0.01,I
643,0.02,3.75,0.01,0.01,I
644,0.02,3.75,0.01,0.01,I
645,0.02,3.75,0.01,0.01,I
646,0.02,3.75,0.01,0.01,I
647,0.02,3.75,0.01,0.01,I
