Lower Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide,FracSpawn,FracHide,ReachEnd
547,0.05,2,0,0.01,I
548,0.05,2,0,0.01,I
549,0.01,3,0,0.01,I
550,0,0.75,0.1,0.1,I
551,0,0.75,0.1,0.1,I
552,0,0.75,0.1,0.1,I
553,0,0.75,0.1,0.1,I
554,0,0.75,0.1,0.1,I
555,0.2,0.5,0,0.2,I
556,0.01,4,0,0,I
557,0.01,4,0,0,I
558,0.2,0.5,0,0.2,I
559,0.2,0.5,0,0.2,I
560,0.2,0.5,0,0.2,I
561,0.8,0,0,1,I
562,0.8,0,0,1,I
563,0.8,0,0,1,I
564,0.8,0,0,1,I
565,0.8,0,0,1,I
566,0.05,1,0.1,0.05,I
567,0.05,1.5,0.02,0.05,I
568,0.05,2,0.6,0.01,I
569,0.05,2,0.6,0.01,I
570,0.01,10,0,0,I
571,0.01,10,0,0,I
572,0.01,10,0,0,I
573,0.1,1.5,0,0.02,I
574,0.01,10,0,0,I
575,0.01,4,0,0,I
576,0.01,4,0,0,I
577,0.01,4,0,0,I
578,0.01,4,0,0,I
579,0.1,1.5,0,0.02,I
580,0,0.75,0.2,0.1,I
581,0,0.75,0.2,0.1,I
582,0,0.75,0.1,0.1,I
583,0,0.75,0.2,0.1,I
584,0,0.75,0.1,0.1,I
585,0,0.75,0.1,0.1,I
586,0,0.75,0.2,0.1,I
587,0,0.75,0.2,0.1,I
588,0,0.75,0.2,0.1,I
589,0,0.75,0.2,0.1,I
590,0.2,0.5,0,0.2,I
591,0,0.75,0.2,0.1,I
592,0.2,0.5,0,0.2,I
593,0.8,0,0,1,I
594,0.8,0,0,1,I
595,0.8,0,0,1,I
596,0.8,0,0,1,I
597,0.8,0,0,1,I
598,0.05,2,0.15,0.01,I
599,0.05,2,0.15,0.01,I
600,0.05,1,0.1,0.05,I
601,0.05,2.5,0.15,0.02,I
602,0.4,0,0,0.8,I
603,0.4,0,0,0.8,I
604,0.4,0,0,0.8,I
605,0.01,10,0,0,I
606,0,10,0,0,I
607,0.01,10,0,0,I
608,0.4,0,0,0.8,I
609,0,10,0,0,I
610,0.01,4,0,0,I
611,0.01,4,0,0,I
612,0,0.75,0.5,0.1,I
613,0,0.75,0.2,0.1,I
614,0,0.75,0.2,0.1,I
615,0,0.75,0.2,0.1,I
616,0,0.75,0.2,0.1,I
617,0,0.75,0.2,0.1,I
618,0,0.75,0.5,0.1,I
619,0,0.75,0.5,0.1,I
620,0,0.75,0.2,0.1,I
621,0.2,0.5,0,0.2,I
622,0.2,0.5,0,0.2,I
623,0.8,0,0,1,I
624,0.8,0,0,1,I
625,0.8,0,0,1,I
626,0.8,0,0,1,I
627,0.8,0,0,1,I
628,0.8,0,0,1,I
629,0.05,2,0.15,0.02,I
1703,0.15,0.25,0,0.15,I
1704,0.15,0.1,0,0.2,I
1705,0.15,0.1,0,0.2,I
1706,0.15,0.1,0,0.2,I
1707,0.1,0.8,0,0.05,I
1708,0.1,0.8,0,0.05,I
1709,0.1,0.23,0,0.8,I
1710,0.1,0.23,0,0.8,I
1711,0.1,0.23,0,0.8,I
1712,0.1,0.23,0,0.8,I
1713,0.1,0.23,0,0.8,I
1714,0.05,1,0,0.05,I
1715,0.15,0.1,0,0.2,I
1716,0.1,0.43,0,0.15,I
1717,0.1,0.43,0,0.15,I
1718,0.05,1,0,0.05,I
1719,0.8,0,0,1,I
1720,0.8,0,0,1,I
1721,0.8,0,0,1,I
1722,0.1,0.8,0,0.05,I
1723,0.1,0.8,0,0.05,I
1724,0.1,0.8,0,0.05,I
1725,0.1,0.8,0,0.05,I
1726,0.8,0,0,1,I
1727,0.8,0,0,1,I
1728,0.6,1,0,0.05,I
1729,0.8,0,0,1,I
1730,0.15,0.1,0,0.2,I
1731,0.15,0.1,0,0.2,I
1732,0.15,0.1,0,0.2,I
1733,0.05,0,0,0.75,I
1734,0,0.5,0,0.15,I
1735,0.05,0.2,0,0.2,I
1736,0,0,0,0.8,I
1737,0,0,0,0.8,I
1738,0,0,0,0.8,I
1739,0,0,0,0.8,I
1740,0,0,0,0.8,I
1741,0,0,0,0.8,I
1742,0.1,0.8,0,0.05,I
1743,0.1,0.23,0,0.8,I
1744,0.1,0.23,0,0.8,I
1745,0.1,0.23,0,0.8,I
1746,0.1,0.23,0,0.8,I
1747,0.1,0.43,0,0.15,I
1748,0.1,0.43,0,0.15,I
1749,0.1,0.43,0,0.15,I
1750,0,0,0,0.75,I
1751,0.1,1,0,0.1,I
1752,0.2,0.31,0,0.3,I
1753,0.2,0.31,0,0.3,I
1754,0.2,0.31,0,0.3,I
1755,0.8,0,0,1,I
1756,0.8,0,0,1,I
1757,0.8,0,0,1,I
1758,0,0,0,0.75,I
1759,0,0,0,0.8,I
1760,0,0,0,0.8,I
1761,0,0,0,0.8,I
1762,0,1,0,0.05,I
1763,0,1,0,0.05,I
1764,0.05,0.3,0,0.05,I
1765,0,0,0,0.8,I
1766,0.05,0,0,0.8,I
1767,0.1,0.5,0,0.1,I
1768,0.1,0.23,0,0.8,I
1769,0.1,0.23,0,0.8,I
1770,0.1,0.23,0,0.8,I
1771,0.1,0.23,0,0.8,I
1772,0.1,0.23,0,0.8,I
1773,0,1,0,0.05,I
1774,0.1,0.43,0,0.15,I
1775,0.8,0,0,1,I
1776,0.7,1.5,0,0.05,I
1777,0.7,1.5,0,0.05,I
1778,0.7,1.5,0,0.05,I
1779,0.1,0.23,0,0.8,I
1780,0.8,0,0,1,I
1781,0.8,0,0,1,I
1782,0.8,0,0,1,I
1783,0,1,0,0.05,I
1784,0,1,0,0.05,I
1785,0,1,0,0.05,I
1786,0,1,0,0.05,I
1787,0,1,0,0.05,I
1788,0,1,0,0.05,I
1789,0.05,0.5,0,0.05,I
1790,0.05,0.3,0,0.05,I
1791,0.05,0,0,0.8,I
